Month,Category,Revenue
2016-09-01,health_beauty,134.97
2016-10-01,air_conditioning,1349.29
2016-10-01,audio,156.99
2016-10-01,auto,1128.26
2016-10-01,baby,1371.17
2016-10-01,bed_bath_table,478.99
2016-10-01,computers_accessories,669.02
2016-10-01,consoles_games,3619.36
2016-10-01,cool_stuff,1046.1000000000001
2016-10-01,diapers_and_hygiene,134.9
2016-10-01,electronics,107.99
2016-10-01,fashio_female_clothing,54.9
2016-10-01,fashion_bags_accessories,373.3
2016-10-01,fashion_male_clothing,24.9
2016-10-01,fashion_shoes,29.99
2016-10-01,fixed_telephony,704.88
2016-10-01,food,79.9
2016-10-01,furniture_decor,5690.52
2016-10-01,garden_tools,1359.88
2016-10-01,health_beauty,3439.25
2016-10-01,housewares,1287.0700000000002
2016-10-01,industry_commerce_and_business,359.6
2016-10-01,market_place,915.2900000000001
2016-10-01,office_furniture,1300.88
2016-10-01,perfumery,4829.099999999999
2016-10-01,pet_shop,689.6800000000001
2016-10-01,sports_leisure,2012.1499999999999
2016-10-01,telephony,228.29
2016-10-01,toys,4106.5
2016-10-01,watches_gifts,2711.07
2016-12-01,fashion_bags_accessories,10.9
2017-01-01,agro_industry_and_commerce,65.97
2017-01-01,air_conditioning,663.7
2017-01-01,auto,4820.03
2017-01-01,baby,6217.88
2017-01-01,bed_bath_table,3804.36
2017-01-01,books_general_interest,234.89
2017-01-01,computers,2199.99
2017-01-01,computers_accessories,3924.1400000000003
2017-01-01,consoles_games,4514.44
2017-01-01,cool_stuff,6856.87
2017-01-01,dvds_blu_ray,29.8
2017-01-01,electronics,617.0
2017-01-01,fashio_female_clothing,77.3
2017-01-01,fashion_bags_accessories,1671.97
2017-01-01,fashion_male_clothing,126.9
2017-01-01,fashion_shoes,34.9
2017-01-01,fashion_underwear_beach,137.25
2017-01-01,fixed_telephony,677.12
2017-01-01,food,42.82
2017-01-01,furniture_bedroom,73.2
2017-01-01,furniture_decor,13036.630000000001
2017-01-01,furniture_living_room,1241.9
2017-01-01,garden_tools,7466.95
2017-01-01,health_beauty,12366.44
2017-01-01,home_appliances_2,1916.78
2017-01-01,home_comfort_2,72.8
2017-01-01,housewares,2827.58
2017-01-01,kitchen_dining_laundry_garden_furniture,110.0
2017-01-01,luggage_accessories,492.5
2017-01-01,market_place,414.14
2017-01-01,music,19.8
2017-01-01,musical_instruments,339.74
2017-01-01,office_furniture,1158.35
2017-01-01,perfumery,5112.599999999999
2017-01-01,pet_shop,799.12
2017-01-01,security_and_services,183.29
2017-01-01,small_appliances,1660.79
2017-01-01,sports_leisure,9212.14
2017-01-01,stationery,1561.99
2017-01-01,telephony,755.94
2017-01-01,toys,4568.1900000000005
2017-01-01,watches_gifts,8086.52
2017-02-01,agro_industry_and_commerce,224.84
2017-02-01,air_conditioning,2405.3
2017-02-01,audio,163.8
2017-02-01,auto,12358.78
2017-02-01,baby,2837.58
2017-02-01,bed_bath_table,15572.130000000001
