Month,Revenue,MoM_Growth
2016-09-01,134.97,
2016-10-01,40325.11,29780.0
2016-12-01,10.9,-100.0
2017-01-01,111798.36,1025570.0
2017-02-01,234223.4,110.0
2017-03-01,359198.85,50.0
2017-04-01,340669.68,-10.0
2017-05-01,489338.25,40.0
2017-06-01,421923.37,-10.0
2017-07-01,481604.52,10.0
2017-08-01,554699.7,20.0
2017-09-01,607399.67,10.0
2017-10-01,648247.65,10.0
2017-11-01,987765.37,50.0
2017-12-01,726033.1900000001,-30.0
2018-01-01,924645.0,30.0
2018-02-01,826437.13,-10.0
2018-03-01,953356.25,20.0
2018-04-01,973534.09,0.0
2018-05-01,977544.69,0.0
2018-06-01,856077.86,-10.0
2018-07-01,867953.46,0.0
2018-08-01,838576.64,-0.0
